Ano/Estados,AM - QTD QUEIMADAS,MA - QTD QUEIMADAS,AC - QTD QUEIMADAS,AP - QTD QUEIMADAS,MT - QTD QUEIMADAS,PA - QTD QUEIMADAS,RO - QTD QUEIMADAS,RR - QTD QUEIMADAS,TO - QTD QUEIMADAS,AC - Desmatamento,AM - Desmatamento,AP - Desmatamento,MA - Desmatamento,MT - Desmatamento,PA - Desmatamento,RO - Desmatamento,RR - Desmatamento,TO - Desmatamento,AMZ LEGAL - Desmatamento
2004,8083.0,11443.0,7271.0,3413.0,70422.0,74214.0,40824.0,2221.0,746.0,728.0,1232.0,46.0,755.0,11814.0,8870.0,3858.0,311.0,158.0,27772.0
2005,15644.0,10820.0,15993.0,2020.0,53489.0,71477.0,41641.0,1461.0,1175.0,592.0,775.0,33.0,922.0,7145.0,5899.0,3244.0,133.0,271.0,19014.0
2006,11697.0,7885.0,6198.0,1665.0,32745.0,55840.0,25699.0,2189.0,504.0,398.0,788.0,30.0,674.0,4333.0,5659.0,2049.0,231.0,124.0,14286.0
2007,11293.0,12329.0,8549.0,1484.0,52399.0,68491.0,27477.0,3244.0,1214.0,184.0,610.0,39.0,631.0,2678.0,5526.0,1611.0,309.0,63.0,11651.0
2008,6701.0,7822.0,5699.0,2153.0,18602.0,48449.0,11549.0,1950.0,528.0,254.0,604.0,100.0,1271.0,3258.0,5607.0,1136.0,574.0,107.0,12911.0
2009,9280.0,6664.0,3511.0,2456.0,9970.0,41664.0,5396.0,2359.0,382.0,167.0,405.0,70.0,828.0,1049.0,4281.0,482.0,121.0,61.0,7464.0
2010,12139.0,7298.0,8661.0,1000.0,28362.0,57196.0,16924.0,1918.0,1116.0,259.0,595.0,53.0,712.0,871.0,3770.0,435.0,256.0,49.0,7000.0
2011,5028.0,4976.0,3191.0,1396.0,9103.0,26563.0,6078.0,1475.0,376.0,280.0,502.0,66.0,396.0,1120.0,3008.0,865.0,141.0,40.0,6418.0
2012,9114.0,6919.0,4720.0,2518.0,16133.0,37221.0,8312.0,1376.0,406.0,305.0,523.0,27.0,269.0,757.0,1741.0,773.0,124.0,52.0,4571.0
2013,6512.0,4418.0,4980.0,1529.0,10830.0,24046.0,4613.0,1395.0,365.0,221.0,583.0,23.0,403.0,1139.0,2346.0,932.0,170.0,74.0,5891.0
2014,9008.0,5733.0,4398.0,1848.0,15677.0,35526.0,7327.0,2519.0,518.0,309.0,500.0,31.0,257.0,1075.0,1887.0,684.0,219.0,50.0,5012.0
2015,13419.0,7475.0,5779.0,2936.0,17599.0,43164.0,13105.0,2452.0,509.0,264.0,712.0,25.0,209.0,1601.0,2153.0,1030.0,156.0,57.0,6207.0
2016,11173.0,4928.0,7684.0,2595.0,15836.0,29724.0,11462.0,3870.0,489.0,372.0,1129.0,17.0,258.0,1489.0,2992.0,1376.0,202.0,58.0,7893.0
2017,11685.0,5896.0,6295.0,1946.0,18143.0,49770.0,11298.0,1565.0,841.0,257.0,1001.0,24.0,265.0,1561.0,2433.0,1243.0,132.0,31.0,6947.0
2018,11446.0,2449.0,6626.0,1206.0,11621.0,22080.0,10253.0,2383.0,281.0,444.0,1045.0,24.0,253.0,1490.0,2744.0,1316.0,195.0,25.0,7536.0
2019,12665.0,3989.0,6802.0,1272.0,17479.0,29700.0,11206.0,4775.0,247.0,688.0,1421.0,8.0,215.0,1685.0,3862.0,1245.0,617.0,21.0,9762.0
